lat,lon,inUS,Within 500mi of Riyadh,Distance_from_Riyadh(in mi),Within 500mi of Tokyo,Distance_from_Tokyo(in mi),Within 500mi of Mexico City,Distance_from_Mexico City(in mi),Within 500mi of Lima,Distance_from_Lima(in mi),Within 500mi of Reykjavik,Distance_from_Reykjavik(in mi),Within 500mi of Zurich,Distance_from_Zurich(in mi),Within 500mi of Sydney,Distance_from_Sydney(in mi)
-38.533333,-70.25,N,N,"8,680.901",N,"10,778.898",N,"4,420.077",N,"1,876.941",N,"7,565.087",N,"7,656.464",N,"6,771.386"
-38.533333,145.88333,N,N,"7,728.305",N,"5,142.691",N,"8,377.549",N,"7,977.851",N,"10,597.448",N,"10,224.222",Y,437.564
-38.533333,146.31667,N,N,"7,750.964",N,"5,144.874",N,"8,354.132",N,"7,960.518",N,"10,602.174",N,"10,244.5",Y,421.553
-38.516666,143.53334,N,N,"7,605.543",N,"5,132.286",N,"8,504.565",N,"8,070.798",N,"10,568.009",N,"10,113.69",N,534.431
-38.5,-72.333336,N,N,"8,793.035",N,"10,666.323",N,"4,362.688",N,"1,850.332",N,"7,602.512",N,"7,735.49",N,"6,709.559"
-38.5,-72.0,N,N,"8,775.051",N,"10,684.31",N,"4,371.321",N,"1,853.66",N,"7,596.086",N,"7,722.508",N,"6,719.918"
-38.5,-67.5,N,N,"8,532.744",N,"10,927.405",N,"4,496.35",N,"1,919.552",N,"7,512.813",N,"7,550.222",N,"6,853.7"
-38.5,-60.25,N,N,"8,145.09",N,"11,319.203",N,"4,728.45",N,"2,099.212",N,"7,392.894",N,"7,285.149",N,"7,043.914"
-38.466667,143.75,N,N,"7,615.854",N,"5,129.508",N,"8,492.883",N,"8,064.848",N,"10,567.45",N,"10,122.093",N,522.834
-38.466667,145.58333,N,N,"7,711.445",N,"5,136.677",N,"8,393.71",N,"7,992.913",N,"10,589.581",N,"10,207.876",Y,445.888
-38.45,142.73334,N,N,"7,562.72",N,"5,125.531",N,"8,547.896",N,"8,104.706",N,"10,552.903",N,"10,073.959",N,568.319
-38.45,142.93333,N,N,"7,573.098",N,"5,126.022",N,"8,537.077",N,"8,097.073",N,"10,555.608",N,"10,083.313",N,559.091
-38.45,142.96666,N,N,"7,574.828",N,"5,126.107",N,"8,535.274",N,"8,095.798",N,"10,556.056",N,"10,084.872",N,557.559
-38.416668,-59.666668,N,N,"8,113.011",N,"11,351.082",N,"4,744.222",N,"2,112.352",N,"7,378.513",N,"7,260.173",N,"7,062.956"
-38.416668,143.7,N,N,"7,612.302",N,"5,125.901",N,"8,495.617",N,"8,069.197",N,"10,563.453",N,"10,118.017",N,523.089
-38.4073,144.18587,N,N,"7,637.428",N,"5,126.878",N,"8,469.318",N,"8,050.767",N,"10,568.967",N,"10,140.424",N,501.286
-38.40101,146.16135,N,N,"7,740.529",N,"5,134.973",N,"8,362.363",N,"7,972.882",N,"10,591.541",N,"10,232.645",Y,420.54
-38.38333,145.08333,N,N,"7,683.816",N,"5,128.717",N,"8,420.719",N,"8,016.658",N,"10,578.196",N,"10,181.585",Y,462.165
-38.36667,142.25,N,N,"7,536",N,"5,118.722",N,"8,574.182",N,"8,127.17",N,"10,540.674",N,"10,048.456",N,588.076
-38.36667,142.81667,N,N,"7,565.411",N,"5,119.981",N,"8,543.491",N,"8,105.609",N,"10,548.459",N,"10,074.957",N,561.486
-38.35,141.43333,N,N,"7,493.355",N,"5,116.208",N,"8,618.441",N,"8,158.727",N,"10,527.912",N,"10,009.694",N,626.689
-38.35,143.43333,N,N,"7,597.149",N,"5,120.491",N,"8,510.102",N,"8,082.733",N,"10,555.53",N,"10,103.221",N,532.535
-38.333332,144.26666,N,N,"7,640.255",N,"5,122.067",N,"8,464.953",N,"8,051.152",N,"10,564.995",N,"10,141.629",Y,494.732
-38.333332,145.9,N,N,"7,725.648",N,"5,129.01",N,"8,376.437",N,"7,986.504",N,"10,584.106",N,"10,218.06",Y,427.152
-38.333332,146.41667,N,N,"7,752.734",N,"5,131.647",N,"8,348.441",N,"7,965.741",N,"10,589.692",N,"10,242.235",Y,407.679
-38.316666,142.26666,N,N,"7,535.866",N,"5,115.303",N,"8,573.36",N,"8,129.008",N,"10,537.567",N,"10,047.489",N,585.615
-38.3,145.8,N,N,"7,719.818",N,"5,126.231",N,"8,381.82",N,"7,992.06",N,"10,580.745",N,"10,212.218",Y,429.45
-38.283333,146.23334,N,N,"7,742.245",N,"5,127.249",N,"8,358.305",N,"7,975.44",N,"10,584.35",N,"10,231.913",Y,411.971
-38.266666,146.03334,N,N,"7,731.461",N,"5,125.084",N,"8,369.128",N,"7,984.256",N,"10,581.057",N,"10,221.972",Y,418.77
-38.26531,144.5147,N,N,"7,651.937",N,"5,118.297",N,"8,451.501",N,"8,044.673",N,"10,563.457",N,"10,150.861",Y,481.135
-38.25,-72.0,N,N,"8,773.856",N,"10,683.16",N,"4,356.187",N,"1,836.707",N,"7,579.941",N,"7,710.504",N,"6,734.071"
-38.25,-65.083336,N,N,"8,400.719",N,"11,058.084",N,"4,555.614",N,"1,954.488",N,"7,454.438",N,"7,447.461",N,"6,935.665"
-38.25,-62.25,N,N,"8,248.777",N,"11,211.799",N,"4,647.251",N,"2,026.689",N,"7,407.659",N,"7,343.768",N,"7,009.994"
-38.25,-61.333332,N,N,"8,199.762",N,"11,261.509",N,"4,678.045",N,"2,052.667",N,"7,393.123",N,"7,310.758",N,"7,032.958"
-38.25,-59.25,N,N,"8,088.648",N,"11,374.392",N,"4,750.023",N,"2,116.089",N,"7,361.191",N,"7,236.746",N,"7,083.123"
-38.25,141.48334,N,N,"7,493.897",N,"5,109.37",N,"8,615.949",N,"8,161.853",N,"10,521.983",N,"10,008.531",N,621.196
-38.233334,141.55,N,N,"7,497.011",N,"5,108.313",N,"8,612.369",N,"8,160.185",N,"10,521.839",N,"10,011.062",N,617.442
-38.233334,146.65,N,N,"7,763.254",N,"5,126.034",N,"8,335.627",N,"7,960.912",N,"10,585.36",N,"10,249.659",Y,394.069
-38.233334,146.68333,N,N,"7,765.005",N,"5,126.218",N,"8,333.819",N,"7,959.561",N,"10,585.706",N,"10,251.218",Y,392.869
-38.216667,145.91667,N,N,"7,724.457",N,"5,121.065",N,"8,375.395",N,"7,991.264",N,"10,576.397",N,"10,214.764",Y,420.896
-38.2,144.36667,N,N,"7,642.984",N,"5,113.24",N,"8,459.527",N,"8,053.601",N,"10,557.254",N,"10,141.649",Y,484.922
-38.183334,142.68333,N,N,"7,554.87",N,"5,107.007",N,"8,550.939",N,"8,119.69",N,"10,534.388",N,"10,062.307",N,561.38
-38.183334,142.96666,N,N,"7,569.62",N,"5,107.704",N,"8,535.554",N,"8,108.819",N,"10,538.203",N,"10,075.561",N,548.033
-38.183334,146.33333,N,N,"7,745.746",N,"5,120.893",N,"8,352.731",N,"7,976.03",N,"10,578.644",N,"10,233.091",Y,403.231
-38.166668,-69.0,N,N,"8,611.107",N,"10,845.392",N,"4,433.359",N,"1,871.381",N,"7,518.162",N,"7,590.663",N,"6,829.733"
-38.166668,-66.5,N,N,"8,476.192",N,"10,981.101",N,"4,507.109",N,"1,917.977",N,"7,473.406",N,"7,496.055",N,"6,901.584"
-38.166668,-63.0,N,N,"8,288.021",N,"11,171.206",N,"4,617.881",N,"2,001.34",N,"7,414.28",N,"7,366.703",N,"6,995.871"
-38.166668,-58.083332,N,N,"8,025.433",N,"11,437.978",N,"4,787.187",N,"2,149.56",N,"7,338.441",N,"7,191.508",N,"7,115.197"
